PostalCode,Province,District,SubDistrict,AddressCode
10400,กรุงเทพมหานคร,ราชเทวี,ทุ่งพญาไท,103701
10400,กรุงเทพมหานคร,ราชเทวี,ถนนพญาไท,103702
10400,กรุงเทพมหานคร,ราชเทวี,ถนนเพชรบุรี,103703
10400,กรุงเทพมหานคร,ราชเทวี,มักกะสัน,103704
10230,กรุงเทพมหานคร,ลาดพร้าว,ลาดพร้าว,103801
10230,กรุงเทพมหานคร,ลาดพร้าว,จรเข้บัว,103802
10110,กรุงเทพมหานคร,วัฒนา,คลองเตยเหนือ,103901
10110,กรุงเทพมหานคร,วัฒนา,คลองตันเหนือ,103902
10110,กรุงเทพมหานคร,วัฒนา,พระโขนงเหนือ,103903
10160,กรุงเทพมหานคร,บางแค,บางแค,104001
10160,กรุงเทพมหานคร,บางแค,บางแคเหนือ,104002
10160,กรุงเทพมหานคร,บางแค,บางไผ่,104003
10160,กรุงเทพมหานคร,บางแค,หลักสอง,104004
10210,กรุงเทพมหานคร,หลักสี่,ทุ่งสองห้อง,104101
10210,กรุงเทพมหานคร,หลักสี่,ตลาดบางเขน,104102
10220,กรุงเทพมหานคร,สายไหม,สายไหม,104201
10220,กรุงเทพมหานคร,สายไหม,ออเงิน,104202
10220,กรุงเทพมหานคร,สายไหม,คลองถนน,104203
10230,กรุงเทพมหานคร,คันนายาว,คันนายาว,104301
10230,กรุงเทพมหานคร,คันนายาว,รามอินทรา,104302
10240,กรุงเทพมหานคร,สะพานสูง,สะพานสูง,104401
10240,กรุงเทพมหานคร,สะพานสูง,ราษฎร์พัฒนา,104402
10250,กรุงเทพมหานคร,สะพานสูง,ทับช้าง,104403
10310,กรุงเทพมหานคร,วังทองหลาง,วังทองหลาง,104501
10310,กรุงเทพมหานคร,วังทองหลาง,สะพานสอง,104502
10310,กรุงเทพมหานคร,วังทองหลาง,คลองเจ้าคุณสิงห์,104503
10310,กรุงเทพมหานคร,วังทองหลาง,พลับพลา,104504
10510,กรุงเทพมหานคร,คลองสามวา,สามวาตะวันตก,104601
10510,กรุงเทพมหานคร,คลองสามวา,สามวาตะวันออก,104602
10510,กรุงเทพมหานคร,คลองสามวา,บางชัน,104603
